Sector,SIC code,Description,Industry,,,Priorities,DfT Integrated Transport Strategy,,,,,Policy priorities of Maritime Decarbonisation Strategy
Digital and Technologies ,60,Programming and broadcasting activities,,,,,,,,,,
Digital and Technologies ,61,Telecommunications,,,,,,,,,,
Digital and Technologies ,62,"Computer programming, consultancy, and related activities",,,,,,,,,,
Digital and Technologies ,63,Information service activities,,,,,,,,,,
Digital and Technologies ,7112,Engineering activities and related technical consultancy,,,,,,,,,,
Digital and Technologies ,712,Technical testing and analysis,,,,,,,,,,
Digital and Technologies ,721,Research and experimental development on natural sciences and engineering,,,,,,,,,,
Digital and Technologies ,951,Repair of computers and communication equipment,,,,,,,,,,
Digital and Technologies ,,N/A,Advanced connectivity technologies,,,,,,,,,
Digital and Technologies ,,N/A,Artificial intelligence (AI),,,,,,,,,
Digital and Technologies ,,N/A,Cybersecurity,,,,,,,,,
Digital and Technologies ,,N/A,Engineering biology,,,,,,,,,
Digital and Technologies ,,N/A,Quantum technologies,,,,,,,,,
Digital and Technologies ,2611,Manufacture of electronic components,Semiconductors,,,,,,,,,
Financial Services ,64,"Financial service activities, except insurance and pension funding",,,,,,,,,,
Financial Services ,65,"Insurance, reinsurance, and pension funding, except compulsory social security",,,,,,,,,,
Financial Services ,66,Activities auxiliary to financial services and insurance activities,,,,,,,,,,
Financial Services ,663,Fund management activities,Asset management and wholesale services,,,,,,,,,
Financial Services ,643,"Trusts, funds, and similar financial entities",Asset management and wholesale services,,,,,,,,,
Financial Services ,64191,Banks,Capital markets and retail investment,,,,,,,,,
Financial Services ,642,Activities of holding companies,Capital markets and retail investment,,,,,,,,,
Financial Services ,64301,Activities of investment trusts,Capital markets and retail investment,,,,,,,,,
Financial Services ,6499,"Other financial service activities, except insurance and pension funding, not elsewhere classified",Capital markets and retail investment,,,,,,,,,
Financial Services ,6611,Administration of financial markets,Capital markets and retail investment,,,,,,,,,
Financial Services ,6612,Security and commodity contracts brokerage,Capital markets and retail investment,,,,,,,,,
Financial Services ,,,Fintech,,,,,,,,,
Financial Services ,6512,Non-life insurance,Insurance and reinsurance markets,,,,,,,,,
Financial Services ,65202,Non-life reinsurance,Insurance and reinsurance markets,,,,,,,,,
Financial Services ,6621,Risk and damage evaluation,Insurance and reinsurance markets,,,,,,,,,
Financial Services ,6622,Activities of insurance agents and brokers,Insurance and reinsurance markets,,,,,,,,,
Financial Services ,,N/A,Sustainable finance,,,,,,,,,
Financial Services ,,N/A,banks,,,,,,,,,
